Method,Accuracy_Archived,Accuracy_Regenerated,Accuracy_Difference,Macro_F1_Archived,Macro_F1_Regenerated,Macro_F1_Difference,ROC_AUC_OVR_Macro_Archived,ROC_AUC_OVR_Macro_Regenerated,ROC_AUC_OVR_Macro_Difference,Log_Loss_Archived,Log_Loss_Regenerated,Log_Loss_Difference,Changed_Test_Predictions_Approx
Soft Voting,0.9147,0.9147,0.0,0.913989451523781,0.913989451523781,0.0,0.995331788888889,0.995331788888889,0.0,0.2604806128145427,0.2604806162558704,3.441327667275118e-09,0
Hold-out Logistic Regression,0.9163,0.9163,0.0,0.9160466444891728,0.9160466444891728,0.0,0.9929066944444443,0.9929066888888888,-5.5555555711350735e-09,0.2871930145732498,0.2871930145128722,-6.037759181509728e-11,0
Hold-out LightGBM,0.9131,0.9145,0.0013999999999999568,0.9129470173092068,0.9143570616957772,0.0014100443865704415,0.9946683833333332,0.9949150111111112,0.00024662777777806344,0.2907027230800259,0.2669762059848257,-0.02372651709520024,14
OOF Logistic Regression,0.9185,0.9185,0.0,0.918180206431028,0.918180206431028,0.0,0.993758311111111,0.9937583333333332,2.222222217351799e-08,0.2759289154908347,0.2759289155873408,9.65060809043905e-11,0
OOF LightGBM,0.9198,0.9211,0.0013000000000000789,0.9196484342027728,0.9209419429378136,0.0012935087350408603,0.9956156888888889,0.9956188222222222,3.1333333333494195e-06,0.2460840350546269,0.2421190617128513,-0.003964973341775591,13
