Dataset,Method,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,ROC_AUC_OVR_Macro,Log_Loss
CIFAR-10,Soft Voting,0.9147,0.9145065942853098,0.9147000000000001,0.913989451523781,0.995331788888889,0.26048061625587043
CIFAR-10,Hold-out Logistic Regression,0.9163,0.916242505544813,0.9163,0.9160466444891728,0.9929066888888889,0.28719301451287227
CIFAR-10,Hold-out LightGBM,0.9145,0.9148431267314321,0.9145,0.9143570616957772,0.9949150111111111,0.2669762059848257
CIFAR-10,OOF Logistic Regression,0.9185,0.918287254295912,0.9185000000000001,0.9181802064310279,0.9937583333333333,0.27592891558734084
CIFAR-10,OOF LightGBM,0.9211,0.9210666504654125,0.9211,0.9209419429378137,0.9956188222222222,0.24211906171285136
