Model,Fold,Training_Samples,Validation_Samples,Head_Epochs_Completed,FineTune_Epochs_Completed,Selected_Stage,Selected_Validation_Loss,Accuracy,Macro_Precision,Macro_Recall,Macro_F1
CT_EfficientNetB0,1,1587,397,10,6,Fine-tuned,0.3278958201408386,0.8942065491183879,0.9053569559300743,0.8931744339526855,0.8932795698924731
CT_EfficientNetB0,2,1587,397,10,7,Fine-tuned,0.22217242419719696,0.9219143576826196,0.923355246394537,0.9217005076142132,0.9218171307325316
CT_EfficientNetB0,3,1587,397,10,6,Fine-tuned,0.35306718945503235,0.8992443324937027,0.9076871172012873,0.8987055837563451,0.8986262192942138
CT_EfficientNetB0,4,1587,397,10,14,Fine-tuned,0.28169557452201843,0.9118387909319899,0.915884254271202,0.9114720812182742,0.9115672235481305
CT_EfficientNetB0,5,1588,396,10,11,Fine-tuned,0.19809980690479279,0.946969696969697,0.9491649349649811,0.9466326530612245,0.946871785698314
