Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,ROC_AUC,Log_Loss,Best_Parameters,Meta_CV_Macro_F1
OOF LightGBM,96.579476861167,96.58067754890529,96.58520389984777,96.57942146920102,99.4477375052635,0.10143037577749671,,
OOF Logistic Regression,96.37826961770624,96.3774452649307,96.38195186732744,96.37813765182186,99.35866290933826,0.115619937392662,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",0.9576177677048193
Soft Voting,95.97585513078471,96.01248378728924,95.96330126647881,95.97388289426785,99.36190198555373,0.11439637379638924,,
ResNet50,94.36619718309859,94.4009403372244,94.35348038739352,94.36343605197499,98.99912544942183,0.15550973054567915,,
EfficientNetB0,91.95171026156942,92.38001638001639,91.90230946134163,91.92421435767444,98.86956240080329,0.18417371532125063,,
