Dataset,Method,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,ROC_AUC,Log_Loss
CT,Soft Voting,0.959758551307847,0.9601248378728924,0.9596330126647881,0.9597388289426785,0.9936190198555372,0.11439637849435695
CT,Hold-out Logistic Regression,0.9617706237424547,0.9617826143282808,0.9618274868007645,0.9617700046557762,0.9936352152366146,0.12000491907174314
CT,Hold-out LightGBM,0.9617706237424547,0.9622184410954464,0.9619489521588442,0.9617681472754289,0.9934894568069187,0.10954165891580964
CT,OOF Logistic Regression,0.9637826961770624,0.963774452649307,0.9638195186732744,0.9637813765182186,0.9935866290933826,0.11577394517227181
CT,OOF LightGBM,0.9678068410462777,0.967798613810079,0.9678440708709877,0.9678056680161944,0.9949308457227999,0.09850745196739769
