Method,Accuracy_Archived,Accuracy_Regenerated,Accuracy_Difference,ROC_AUC_Archived,ROC_AUC_Regenerated,ROC_AUC_Difference,Log_Loss_Archived,Log_Loss_Regenerated,Log_Loss_Difference
OOF LightGBM,0.9657947686116699,0.9678068410462776,0.002012072434607659,0.994477375052635,0.9949308457228,0.00045347067016499043,0.1014303757774967,0.0985074519673976,-0.002922923810099093
OOF Logistic Regression,0.9637826961770624,0.9637826961770624,0.0,0.9935866290933827,0.9935866290933826,-1.1102230246251565e-16,0.115619937392662,0.1157739451722718,0.00015400777960979106
Soft Voting,0.9597585513078473,0.959758551307847,-2.220446049250313e-16,0.9936190198555371,0.9936190198555372,1.1102230246251565e-16,0.1143963737963892,0.1143963784943569,4.697967695421745e-09
